2021-02-10 | 10:35:34.458 | Test worker          |  INFO | otTestContextBootstrapper | ID:          | Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@30fb6d9a, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4064ad5e, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7617e454, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@2ae2af20, org.springframework.test.context.support.DirtiesContextTestExecutionListener@411e905b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@24f5db7b, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6d89aef5, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@52ad97cb, org.springframework.test.context.event.EventPublishingTestExecutionListener@6704598d, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@6da06815, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4d7e9d52, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@73d348f9, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@36deaf3f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@58508931, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@617d1b64]
2021-02-10 | 10:35:34.708 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | getRestaurantWithUserCategory.longitude: must be greater than or equal to 122
2021-02-10 | 10:35:34.709 | Test worker          |  INFO | .RestaurantControllerTest | ID:          | 유저 리포지토 비우기
2021-02-10 | 10:35:35.007 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Required String parameter 'userId' is not present
2021-02-10 | 10:35:35.009 | Test worker          |  INFO | .RestaurantControllerTest | ID:          | 유저 리포지토 비우기
2021-02-10 | 10:35:35.315 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | getRestaurantWithUserCategory.latitude: must be less than or equal to 43
2021-02-10 | 10:35:35.316 | Test worker          |  INFO | .RestaurantControllerTest | ID:          | 유저 리포지토 비우기
2021-02-10 | 10:35:35.586 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 토큰 타입이 불일치 합니다. accsse token이 필요합니다
2021-02-10 | 10:35:35.586 | Test worker          | ERROR | TokenAuthenticationFilter | ID:          | 토큰 타입이 불일치 합니다. accsse token이 필요합니다.
2021-02-10 | 10:35:35.587 | Test worker          |  INFO | .RestaurantControllerTest | ID:          | 유저 리포지토 비우기
2021-02-10 | 10:35:35.876 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Required String parameter 'userId' is not present
2021-02-10 | 10:35:35.878 | Test worker          |  INFO | .RestaurantControllerTest | ID:          | 유저 리포지토 비우기
2021-02-10 | 10:35:36.147 | Test worker          | ERROR | TokenAuthenticationFilter | ID:          | jwt token은 Bearer로 시작해야 합니다
2021-02-10 | 10:35:36.148 | Test worker          |  INFO | .RestaurantControllerTest | ID:          | 유저 리포지토 비우기
2021-02-10 | 10:35:36.446 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Required BigDecimal parameter 'latitude' is not present
2021-02-10 | 10:35:36.447 | Test worker          |  INFO | .RestaurantControllerTest | ID:          | 유저 리포지토 비우기
2021-02-10 | 10:35:36.747 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Required String parameter 'userId' is not present
2021-02-10 | 10:35:36.748 | Test worker          |  INFO | .RestaurantControllerTest | ID:          | 유저 리포지토 비우기
2021-02-10 | 10:35:37.710 | Test worker          |  INFO | .RestaurantControllerTest | ID:          | 유저 리포지토 비우기
